Table,,,,2-3.-,,PFT,Abdominal,,Crunches,Scoring,,Tables.,,,,,
Reps,"Male Crunches
17-20 21-25 26-30 31-35 36-40 41-45 46-50 51+",,,,,,,,Reps,"Female Crunches
17-20 21-25 26-30 31-35 36-40 41-45 46-50 51+",,,,,,,
115,,,100,100,,,,,110,,,100,,,,,
114,,,99,99,,,,,109,,,99,,,,,
113,,,97,97,,,,,108,,,98,,,,,
112,,,96,96,,,,,107,,,96,,,,,
111,,,95,95,,,,,106,,,95,,,,,
110,,100,93,93,100,,,,105,,100,94,100,100,,,
109,,99,92,92,99,,,,104,,99,93,99,99,,,
108,,97,91,91,97,,,,103,,98,92,97,97,,,
107,,96,89,89,96,,,,102,,96,90,96,96,,,
106,,94,88,88,94,,,,101,,95,89,95,95,,,
105,100,93,87,87,93,100,,,100,100,94,88,93,93,100,100,100
104,98,91,85,85,91,99,,,99,99,93,87,92,92,99,99,99
103,97,90,84,84,90,97,,,98,98,92,86,91,91,97,98,98
102,95,88,83,83,88,96,,,97,96,90,84,89,89,96,96,97
101,93,87,81,81,87,94,,,96,95,89,83,88,88,95,95,96
100,91,85,80,80,85,93,100,100,95,94,88,82,87,87,93,94,95
99,90,84,79,79,84,91,99,99,94,93,87,81,85,85,92,93,94
98,88,82,77,77,82,90,98,98,93,92,86,80,84,84,91,92,93
97,86,81,76,76,81,88,96,97,92,90,84,78,83,83,89,90,92
96,85,79,75,75,79,87,95,96,91,89,83,77,81,81,88,89,91
95,83,78,73,73,78,85,94,95,90,88,82,76,80,80,87,88,90
94,81,76,72,72,76,84,93,94,89,87,81,75,79,79,85,87,89
93,79,75,71,71,75,82,92,93,88,86,80,74,77,77,84,86,88
92,78,73,69,69,73,81,90,92,87,84,78,72,76,76,83,84,87
91,76,72,68,68,72,79,89,91,86,83,77,71,75,75,81,83,86
90,74,70,67,67,70,78,88,90,85,82,76,70,73,73,80,82,85
89,73,69,65,65,69,76,87,89,84,81,75,69,72,72,79,81,84
88,71,67,64,64,67,75,86,88,83,80,74,68,71,71,77,80,83
87,69,66,63,63,66,73,84,87,82,78,72,66,69,69,76,78,82
86,67,64,61,61,64,72,83,86,81,77,71,65,68,68,75,77,81
85,66,63,60,60,63,70,82,85,80,76,70,64,67,67,73,76,80
84,64,61,59,59,61,69,81,84,79,75,69,63,65,65,72,75,79
83,62,60,57,57,60,67,80,83,78,74,68,62,64,64,71,74,78
82,61,58,56,56,58,66,78,82,77,72,66,60,63,63,69,72,77
81,59,57,55,55,57,64,77,81,76,71,65,59,61,61,68,71,76
80,57,55,53,53,55,63,76,80,75,70,64,58,60,60,67,70,75

,,,Male Crunches,,,,,,,,,Female Crunches,,,,,
,17-20 21-25 26-30 31-35 36-40 41-45 46-50,,,,,,,51+,,17-20 21-25 26-30 31-35 36-40 41-45 46-50,,,,,,,51+
Max,105,110,115,115,110,105,100,100,Max,100,105,110,105,105,100,100,100
Min,70,70,70,70,70,65,50,40,Min,50,55,60,60,60,55,50,40
Min Pts,40,40,40,40,40,40,40,40,Min Pts,40,40,40,40,40,40,40,40
79,55,54,52,52,54,61,75,79,74,69,63,57,59,59,65,69,74
78,54,52,51,51,52,60,74,78,73,68,62,56,57,57,64,68,73
77,52,51,49,49,51,58,72,77,72,66,60,54,56,56,63,66,72
76,50,49,48,48,49,57,71,76,71,65,59,53,55,55,61,65,71
75,49,48,47,47,48,55,70,75,70,64,58,52,53,53,60,64,70
74,47,46,45,45,46,54,69,74,69,63,57,51,52,52,59,63,69
73,45,45,44,44,45,52,68,73,68,62,56,50,51,51,57,62,68
72,43,43,43,43,43,51,66,72,67,60,54,48,49,49,56,60,67
71,42,42,41,41,42,49,65,71,66,59,53,47,48,48,55,59,66
70,40,40,40,40,40,48,64,70,65,58,52,46,47,47,53,58,65
69,,,,,,46,63,69,64,57,51,45,45,45,52,57,64
68,,,,,,45,62,68,63,56,50,44,44,44,51,56,63
67,,,,,,43,60,67,62,54,48,42,43,43,49,54,62
66,,,,,,42,59,66,61,53,47,41,41,41,48,53,61
65,,,,,,40,58,65,60,52,46,40,40,40,47,52,60
64,,,,,,,57,64,59,51,45,,,,45,51,59
63,,,,,,,56,63,58,50,44,,,,44,50,58
62,,,,,,,54,62,57,48,42,,,,43,48,57
61,,,,,,,53,61,56,47,41,,,,41,47,56
60,,,,,,,52,60,55,46,40,,,,40,46,55
59,,,,,,,51,59,54,45,,,,,,45,54
58,,,,,,,50,58,53,44,,,,,,44,53
57,,,,,,,48,57,52,42,,,,,,42,52
56,,,,,,,47,56,51,41,,,,,,41,51
55,,,,,,,46,55,50,40,,,,,,40,50
54,,,,,,,45,54,49,,,,,,,,49
53,,,,,,,44,53,48,,,,,,,,48
52,,,,,,,42,52,47,,,,,,,,47
51,,,,,,,41,51,46,,,,,,,,46
50,,,,,,,40,50,45,,,,,,,,45
49,,,,,,,,49,44,,,,,,,,44
48,,,,,,,,48,43,,,,,,,,43
47,,,,,,,,47,42,,,,,,,,42
46,,,,,,,,46,41,,,,,,,,41
45,,,,,,,,45,40,,,,,,,,40
44,,,,,,,,44,,,,,,,,,
43,,,,,,,,43,,,,,,,,,
42,,,,,,,,42,,,,,,,,,
41,,,,,,,,41,,,,,,,,,
40,,,,,,,,40,,,,,,,,,
